misconception_id,misconception,tweet_id,label
14,Hand sanitiser sold commercially does not destroy the coronavirus.,1.233976507455828e+18,na
3,Coronavirus is genetically engineered.,1.233927724315693e+18,na
9,Africans are more resistant to coronavirus.,1.2339578656160195e+18,na
24,Coronavirus is cured by shuanghuanglian.,1.233965713926148e+18,na
17,Avocado and mint tea cures coronavirus.,1.2339539941264138e+18,na
8,Vitamin C can prevent coronavirus circulation.,1.2339071829549588e+18,na
53,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",1.233905381157376e+18,na
15,Coronavirus can only survive in cold temperatures.,1.2339405579631534e+18,na
43,Miracle Mineral Suppliment (MMS) will prevent and cure COVID-19.,1.2339507576968192e+18,na
56,"A pack of elephants descended on a village under quarantine in China's Yunnan, got drunk on corn wine, and passed out in a tea garden.
.",1.2339615882873283e+18,na
55,Drinking Corona-brand beer causes COVID-19.,1.2339604178750013e+18,na
51,COVID-19 is only as deadly as the seasonal flu.,1.2339372220654346e+18,na
58,Water polution decreased in Venice canals following COVID-19 lockdown.,1.2339232180602593e+18,na
16,Acetic acid is effective against coronavirus.,1.2339933309771244e+18,na
23,SARS-CoV-2 can survive for weeks on surfaces.,1.2339636040696095e+18,pos
59,"A Malabar civet was spotted walking the streets of Meppayur, India following COVID-19 lockdown",1.2339799600476078e+18,na
55,Drinking Corona-brand beer causes COVID-19.,1.2339392616296202e+18,na
34,"There is an ""anti-coronavirus"" mattress that could fight the coronavirus.",1.2339415883524547e+18,na
45,Alex Jones' silver-infused toothpaste kills COVID-19,1.233928533124141e+18,na
48,There will be 500 deaths at the end of the pandemic.,1.2339125338719437e+18,na
41,CBD oil is a cure for COVID-19.,1.2339061847232348e+18,na
51,COVID-19 is only as deadly as the seasonal flu.,1.233931974429102e+18,neg
52,Chloroquine is a Food and Drug Administration (FDA) approved treatment for COVID-19.,1.2339306728189665e+18,na
35,Wearing shoes at one's home is the reason behind the spread of the coronavirus in italy.,1.233949202247344e+18,na
3,Coronavirus is genetically engineered.,1.233962525370323e+18,na
31,The lifetime of SARS-CoV-2 is only 12 hours.,1.2339368957190676e+18,na
60,"A pod of humpback whales returned to the Arabian Sea offshore from Mumbai, India following the COVID-19 lockdown.",1.2339601995071078e+18,na
26,Kyriakos Velopoulos sells a hand cream which completely kills covid-19.,1.2339327671021527e+18,na
